Aphrika	Африка
1919	1919 год
1921	1921 год
1922	1922 год
Mawlli suyu	Мауле (область)
4 ñiqin qhulla puquy killapi	4 января
1923	1923 год
Biyubiyu suyu	Био-Био (область)
1924	1924 год
Arawkaniya suyu	Араукания
Mayukuna suyu	Лос-Риос (область)
Quchakuna suyu	Лос-Лагос (область)
Aisén suyu	Айсен-дель-Хенераль-Карлос-Ибаньес-дель-Кампо
Georges Pompidou	Помпиду, Жорж
Magallanes Antartika suyu	Магальянес-и-ла-Антарктика-Чилена
Sit'i pachahina	Карликовая планета
5 ñiqin qhulla puquy killapi	5 января
Arika	Арика
6 ñiqin qhulla puquy killapi	6 января
Iliktrun	Электрон
7 ñiqin qhulla puquy killapi	7 января
8 ñiqin qhulla puquy killapi	8 января
Velikiy Novgorod	Великий Новгород
9 ñiqin qhulla puquy killapi	9 января
10 ñiqin qhulla puquy killapi	10 января
11 ñiqin qhulla puquy killapi	11 января
12 ñiqin qhulla puquy killapi	12 января
13 ñiqin qhulla puquy killapi	13 января
Birmingham	Бирмингем
14 ñiqin qhulla puquy killapi	14 января
15 ñiqin qhulla puquy killapi	15 января
16 ñiqin qhulla puquy killapi	16 января
17 ñiqin qhulla puquy killapi	17 января
18 ñiqin qhulla puquy killapi	18 января
19 ñiqin qhulla puquy killapi	19 января
20 ñiqin qhulla puquy killapi	20 января
21 ñiqin qhulla puquy killapi	21 января
22 ñiqin qhulla puquy killapi	22 января
23 ñiqin qhulla puquy killapi	23 января
Rumaki qhapaq llaqta	Римская империя
24 ñiqin qhulla puquy killapi	24 января
25 ñiqin qhulla puquy killapi	25 января
Minsk	Минск
26 ñiqin qhulla puquy killapi	26 января
Microsoft	Microsoft
27 ñiqin qhulla puquy killapi	27 января
28 ñiqin qhulla puquy killapi	28 января
29 ñiqin qhulla puquy killapi	29 января
30 ñiqin qhulla puquy killapi	30 января
31 ñiqin qhulla puquy killapi	31 января
Prutun	Протон
2 ñiqin qhapaq raymi killapi	2 декабря
1 ñiqin qhapaq raymi killapi	1 декабря
3 ñiqin qhapaq raymi killapi	3 декабря
7 ñiqin qhapaq raymi killapi	7 декабря
5 ñiqin qhapaq raymi killapi	5 декабря
8 ñiqin qhapaq raymi killapi	8 декабря
10 ñiqin qhapaq raymi killapi	10 декабря
6 ñiqin qhapaq raymi killapi	6 декабря
9 ñiqin qhapaq raymi killapi	9 декабря
Pink Floyd	Pink Floyd
4 ñiqin qhapaq raymi killapi	4 декабря
1 ñiqin hatun puquy killapi	1 февраля
2 ñiqin hatun puquy killapi	2 февраля
Yanuna kachi	Хлорид натрия
3 ñiqin hatun puquy killapi	3 февраля
Kurów	Курув
4 ñiqin hatun puquy killapi	4 февраля
5 ñiqin hatun puquy killapi	5 февраля
6 ñiqin hatun puquy killapi	6 февраля
7 ñiqin hatun puquy killapi	7 февраля
8 ñiqin hatun puquy killapi	8 февраля
9 ñiqin hatun puquy killapi	9 февраля
10 ñiqin hatun puquy killapi	10 февраля
Chaqllisinchi	Химия
14 ñiqin hatun puquy killapi	14 февраля
13 ñiqin hatun puquy killapi	13 февраля
15 ñiqin hatun puquy killapi	15 февраля
11 ñiqin hatun puquy killapi	11 февраля
12 ñiqin hatun puquy killapi	12 февраля
Robin van Persie	Ван Перси, Робин
19 ñiqin hatun puquy killapi	19 февраля
17 ñiqin hatun puquy killapi	17 февраля
16 ñiqin hatun puquy killapi	16 февраля
18 ñiqin hatun puquy killapi	18 февраля
20 ñiqin hatun puquy killapi	20 февраля
Niwtrun	Нейтрон
21 ñiqin hatun puquy killapi	21 февраля
22 ñiqin hatun puquy killapi	22 февраля
23 ñiqin hatun puquy killapi	23 февраля
24 ñiqin hatun puquy killapi	24 февраля
25 ñiqin hatun puquy killapi	25 февраля
26 ñiqin hatun puquy killapi	26 февраля
27	27 год
27 ñiqin hatun puquy killapi	27 февраля
28 ñiqin hatun puquy killapi	28 февраля
11 ñiqin qhapaq raymi killapi	11 декабря
29 ñiqin hatun puquy killapi	29 февраля
12 ñiqin qhapaq raymi killapi	12 декабря
13 ñiqin qhapaq raymi killapi	13 декабря
14 ñiqin qhapaq raymi killapi	14 декабря
15 ñiqin qhapaq raymi killapi	15 декабря
2 ñiqin pawqar waray killapi	2 марта
3 ñiqin pawqar waray killapi	3 марта
5 ñiqin pawqar waray killapi	5 марта
1 ñiqin pawqar waray killapi	1 марта
7 ñiqin pawqar waray killapi	7 марта
8 ñiqin pawqar waray killapi	8 марта
4 ñiqin pawqar waray killapi	4 марта
10 ñiqin pawqar waray killapi	10 марта
11 ñiqin pawqar waray killapi	11 марта
6 ñiqin pawqar waray killapi	6 марта
13 ñiqin pawqar waray killapi	13 марта
9 ñiqin pawqar waray killapi	9 марта
12 ñiqin pawqar waray killapi	12 марта
15 ñiqin pawqar waray killapi	15 марта
14 ñiqin pawqar waray killapi	14 марта
16 ñiqin qhapaq raymi killapi	16 декабря
17 ñiqin qhapaq raymi killapi	17 декабря
16 ñiqin pawqar waray killapi	16 марта
17 ñiqin pawqar waray killapi	17 марта
18 ñiqin pawqar waray killapi	18 марта
Jaroslavl	Ярославль
19 ñiqin pawqar waray killapi	19 марта
1989	1989 год
1988	1988 год
20 ñiqin pawqar waray killapi	20 марта
1987	1987 год
1986	1986 год
1985	1985 год
1984	1984 год
21 ñiqin pawqar waray killapi	21 марта
1983	1983 год
22 ñiqin pawqar waray killapi	22 марта
1982	1982 год
1981	1981 год
18 ñiqin qhapaq raymi killapi	18 декабря
1980	1980 год
23 ñiqin pawqar waray killapi	23 марта
Mugadishu	Могадишо
19 ñiqin qhapaq raymi killapi	19 декабря
24 ñiqin pawqar waray killapi	24 марта
25 ñiqin pawqar waray killapi	25 марта
20 ñiqin qhapaq raymi killapi	20 декабря
26 ñiqin pawqar waray killapi	26 марта
27 ñiqin pawqar waray killapi	27 марта
28 ñiqin pawqar waray killapi	28 марта
29 ñiqin pawqar waray killapi	29 марта
30 ñiqin pawqar waray killapi	30 марта
31 ñiqin pawqar waray killapi	31 марта
Nassau	Нассау (Багамские Острова)
1970	1970 год
1971	1971 год
1972	1972 год
1973	1973 год
1974	1974 год
1975	1975 год
1976	1976 год
1977	1977 год
1978	1978 год
1979	1979 год
1969	1969 год
Konrad Adenauer	Аденауэр, Конрад
Binidiktu XVI	Бенедикт XVI
15 ñiqin ayriway killapi	15 апреля
13 ñiqin ayriway killapi	13 апреля
12 ñiqin ayriway killapi	12 апреля
14 ñiqin ayriway killapi	14 апреля
11 ñiqin ayriway killapi	11 апреля
10 ñiqin ayriway killapi	10 апреля
8 ñiqin ayriway killapi	8 апреля
9 ñiqin ayriway killapi	9 апреля
7 ñiqin ayriway killapi	7 апреля
6 ñiqin ayriway killapi	6 апреля
5 ñiqin ayriway killapi	5 апреля
4 ñiqin ayriway killapi	4 апреля
3 ñiqin ayriway killapi	3 апреля
1 ñiqin ayriway killapi	1 апреля
2 ñiqin ayriway killapi	2 апреля
Willy Brandt	Брандт, Вилли
Helmut Schmidt	Шмидт, Гельмут
Helmut Kohl	Коль, Гельмут
16 ñiqin ayriway killapi	16 апреля
17 ñiqin ayriway killapi	17 апреля
18 ñiqin ayriway killapi	18 апреля
19 ñiqin ayriway killapi	19 апреля
20 ñiqin ayriway killapi	20 апреля
21 ñiqin ayriway killapi	21 апреля
22 ñiqin ayriway killapi	22 апреля
23 ñiqin ayriway killapi	23 апреля
24 ñiqin ayriway killapi	24 апреля
Gerhard Schröder	Шрёдер, Герхард
25 ñiqin ayriway killapi	25 апреля
26 ñiqin ayriway killapi	26 апреля
27 ñiqin ayriway killapi	27 апреля
28 ñiqin ayriway killapi	28 апреля
29 ñiqin ayriway killapi	29 апреля
30 ñiqin ayriway killapi	30 апреля
Killa Satiliti	Спутник (космос)
Joachim Gauck	Гаук, Йоахим
Christian Wulff	Вульф, Кристиан
Horst Köhler	Кёлер, Хорст
1 ñiqin aymuray killapi	1 мая
2 ñiqin aymuray killapi	2 мая
3 ñiqin aymuray killapi	3 мая
4 ñiqin aymuray killapi	4 мая
5 ñiqin aymuray killapi	5 мая
6 ñiqin aymuray killapi	6 мая
7 ñiqin aymuray killapi	7 мая
8 ñiqin aymuray killapi	8 мая
9 ñiqin aymuray killapi	9 мая
10 ñiqin aymuray killapi	10 мая
11 ñiqin aymuray killapi	11 мая
12 ñiqin aymuray killapi	12 мая
13 ñiqin aymuray killapi	13 мая
14 ñiqin aymuray killapi	14 мая
15 ñiqin aymuray killapi	15 мая
16 ñiqin aymuray killapi	16 мая
17 ñiqin aymuray killapi	17 мая
18 ñiqin aymuray killapi	18 мая
19 ñiqin aymuray killapi	19 мая
20 ñiqin aymuray killapi	20 мая
21 ñiqin aymuray killapi	21 мая
22 ñiqin aymuray killapi	22 мая
23 ñiqin aymuray killapi	23 мая
24 ñiqin aymuray killapi	24 мая
25 ñiqin aymuray killapi	25 мая
26 ñiqin aymuray killapi	26 мая
27 ñiqin aymuray killapi	27 мая
28 ñiqin aymuray killapi	28 мая
29 ñiqin aymuray killapi	29 мая
30 ñiqin aymuray killapi	30 мая
31 ñiqin aymuray killapi	31 мая
Paul MacCartney	Маккартни, Пол
21 ñiqin qhapaq raymi killapi	21 декабря
Piyu XII	Пий XII
Erich Honecker	Хонеккер, Эрих
SS Lazio	Лацио (футбольный клуб)
14 ñiqin inti raymi killapi	14 июня
15 ñiqin inti raymi killapi	15 июня
13 ñiqin inti raymi killapi	13 июня
10 ñiqin inti raymi killapi	10 июня
7 ñiqin inti raymi killapi	7 июня
11 ñiqin inti raymi killapi	11 июня
9 ñiqin inti raymi killapi	9 июня
12 ñiqin inti raymi killapi	12 июня
6 ñiqin inti raymi killapi	6 июня
8 ñiqin inti raymi killapi	8 июня
5 ñiqin inti raymi killapi	5 июня
3 ñiqin inti raymi killapi	3 июня
2 ñiqin inti raymi killapi	2 июня
1 ñiqin inti raymi killapi	1 июня
4 ñiqin inti raymi killapi	4 июня
Napoli	Неаполь
22 ñiqin qhapaq raymi killapi	22 декабря
SSC Napoli	Наполи
George Harrison	Харрисон, Джордж
1968	1968 год
Friedrich Ebert	Эберт, Фридрих
1967	1967 год
1966	1966 год
1965	1965 год
1964	1964 год
16 ñiqin inti raymi killapi	16 июня
Palermo	Палермо
30 ñiqin inti raymi killapi	30 июня
29 ñiqin inti raymi killapi	29 июня
28 ñiqin inti raymi killapi	28 июня
26 ñiqin inti raymi killapi	26 июня
25 ñiqin inti raymi killapi	25 июня
22 ñiqin inti raymi killapi	22 июня
27 ñiqin inti raymi killapi	27 июня
24 ñiqin inti raymi killapi	24 июня
20 ñiqin inti raymi killapi	20 июня
Paul von Hindenburg	Гинденбург, Пауль фон
23 ñiqin inti raymi killapi	23 июня
19 ñiqin inti raymi killapi	19 июня
18 ñiqin inti raymi killapi	18 июня
21 ñiqin inti raymi killapi	21 июня
17 ñiqin inti raymi killapi	17 июня
23 ñiqin qhapaq raymi killapi	23 декабря
Wilhelm II	Вильгельм II (германский император)
Parma	Парма
Vladimir	Владимир (город)
15 ñiqin anta situwa killapi	15 июля
13 ñiqin anta situwa killapi	13 июля
12 ñiqin anta situwa killapi	12 июля
10 ñiqin anta situwa killapi	10 июля
9 ñiqin anta situwa killapi	9 июля
14 ñiqin anta situwa killapi	14 июля
8 ñiqin anta situwa killapi	8 июля
Parma FC	Парма (футбольный клуб)
7 ñiqin anta situwa killapi	7 июля
6 ñiqin anta situwa killapi	6 июля
5 ñiqin anta situwa killapi	5 июля
2 ñiqin anta situwa killapi	2 июля
4 ñiqin anta situwa killapi	4 июля
3 ñiqin anta situwa killapi	3 июля
1 ñiqin anta situwa killapi	1 июля
11 ñiqin anta situwa killapi	11 июля
24 ñiqin qhapaq raymi killapi	24 декабря
31 ñiqin anta situwa killapi	31 июля
30 ñiqin anta situwa killapi	30 июля
29 ñiqin anta situwa killapi	29 июля
28 ñiqin anta situwa killapi	28 июля
27 ñiqin anta situwa killapi	27 июля
25 ñiqin anta situwa killapi	25 июля
24 ñiqin anta situwa killapi	24 июля
23 ñiqin anta situwa killapi	23 июля
26 ñiqin anta situwa killapi	26 июля
22 ñiqin anta situwa killapi	22 июля
19 ñiqin anta situwa killapi	19 июля
21 ñiqin anta situwa killapi	21 июля
20 ñiqin anta situwa killapi	20 июля
17 ñiqin anta situwa killapi	17 июля
18 ñiqin anta situwa killapi	18 июля
16 ñiqin anta situwa killapi	16 июля
Piluta hayt'ay	Футбол
AS Roma	Рома (футбольный клуб)
25 ñiqin qhapaq raymi killapi	25 декабря
Siena	Сиена
1963	1963 год
Lech Kaczyński	Качиньский, Лех
26 ñiqin qhapaq raymi killapi	26 декабря
Ulukawstu	Холокост
1962	1962 год
14 ñiqin chakra yapuy killapi	14 августа
15 ñiqin chakra yapuy killapi	15 августа
13 ñiqin chakra yapuy killapi	13 августа
12 ñiqin chakra yapuy killapi	12 августа
11 ñiqin chakra yapuy killapi	11 августа
10 ñiqin chakra yapuy killapi	10 августа
8 ñiqin chakra yapuy killapi	8 августа
7 ñiqin chakra yapuy killapi	7 августа
9 ñiqin chakra yapuy killapi	9 августа
5 ñiqin chakra yapuy killapi	5 августа
4 ñiqin chakra yapuy killapi	4 августа
2 ñiqin chakra yapuy killapi	2 августа
3 ñiqin chakra yapuy killapi	3 августа
6 ñiqin chakra yapuy killapi	6 августа
1 ñiqin chakra yapuy killapi	1 августа
Grimm wawqikuna	Братья Гримм
27 ñiqin qhapaq raymi killapi	27 декабря
Madrid	Мадрид
Elton John	Элтон Джон
16 ñiqin chakra yapuy killapi	16 августа
29 ñiqin chakra yapuy killapi	29 августа
28 ñiqin chakra yapuy killapi	28 августа
30 ñiqin chakra yapuy killapi	30 августа
25 ñiqin chakra yapuy killapi	25 августа
26 ñiqin chakra yapuy killapi	26 августа
23 ñiqin chakra yapuy killapi	23 августа
27 ñiqin chakra yapuy killapi	27 августа
21 ñiqin chakra yapuy killapi	21 августа
20 ñiqin chakra yapuy killapi	20 августа
24 ñiqin chakra yapuy killapi	24 августа
18 ñiqin chakra yapuy killapi	18 августа
17 ñiqin chakra yapuy killapi	17 августа
22 ñiqin chakra yapuy killapi	22 августа
19 ñiqin chakra yapuy killapi	19 августа
31 ñiqin chakra yapuy killapi	31 августа
Michael Jackson	Джексон, Майкл
28 ñiqin qhapaq raymi killapi	28 декабря
Chhulli	Грипп
Bogotá	Богота
Brasilia	Бразилиа
15 ñiqin tarpuy killapi	15 сентября
14 ñiqin tarpuy killapi	14 сентября
13 ñiqin tarpuy killapi	13 сентября
12 ñiqin tarpuy killapi	12 сентября
8 ñiqin tarpuy killapi	8 сентября
11 ñiqin tarpuy killapi	11 сентября
