આફ્રિકા	Африка
સપ્ટેમ્બર ૨૭	27 сентября
સપ્ટેમ્બર ૨૬	26 сентября
સપ્ટેમ્બર ૨૫	25 сентября
સપ્ટેમ્બર ૨૩	23 сентября
સપ્ટેમ્બર ૨૨	22 сентября
સપ્ટેમ્બર ૨૪	24 сентября
સપ્ટેમ્બર ૨૧	21 сентября
સપ્ટેમ્બર ૨૦	20 сентября
સપ્ટેમ્બર ૧૮	18 сентября
સપ્ટેમ્બર ૧૭	17 сентября
સપ્ટેમ્બર ૧૯	19 сентября
સપ્ટેમ્બર ૧૬	16 сентября
ડિસેમ્બર ૩૦	30 декабря
ડિસેમ્બર ૩૧	31 декабря
ઓક્ટોબર ૧	1 октября
ઓક્ટોબર ૧૫	15 октября
ઓક્ટોબર ૧૨	12 октября
ઓક્ટોબર ૧૦	10 октября
ઓક્ટોબર ૧૪	14 октября
ઓક્ટોબર ૯	9 октября
ઓક્ટોબર ૮	8 октября
ઓક્ટોબર ૧૩	13 октября
ઓક્ટોબર ૭	7 октября
ઓક્ટોબર ૧૧	11 октября
ઓક્ટોબર ૬	6 октября
ઓક્ટોબર ૪	4 октября
ઓક્ટોબર ૫	5 октября
ઓક્ટોબર ૩	3 октября
ઓક્ટોબર ૨	2 октября
બકરી	Коза домашняя
ઓક્ટોબર ૩૧	31 октября
ઓક્ટોબર ૩૦	30 октября
ઓક્ટોબર ૨૯	29 октября
ઓક્ટોબર ૨૮	28 октября
ઓક્ટોબર ૨૬	26 октября
ઓક્ટોબર ૨૫	25 октября
ઓક્ટોબર ૨૪	24 октября
ઓક્ટોબર ૨૭	27 октября
ઓક્ટોબર ૨૨	22 октября
ઓક્ટોબર ૨૩	23 октября
ઓક્ટોબર ૨૦	20 октября
ઓક્ટોબર ૨૧	21 октября
ઓક્ટોબર ૧૯	19 октября
ઓક્ટોબર ૧૭	17 октября
ઓક્ટોબર ૧૬	16 октября
ઓક્ટોબર ૧૮	18 октября
નવેમ્બર ૧૫	15 ноября
નવેમ્બર ૧૪	14 ноября
નવેમ્બર ૧૩	13 ноября
નવેમ્બર ૧૨	12 ноября
નવેમ્બર ૧૧	11 ноября
નવેમ્બર ૧૦	10 ноября
નવેમ્બર ૭	7 ноября
નવેમ્બર ૮	8 ноября
નવેમ્બર ૯	9 ноября
નવેમ્બર ૬	6 ноября
નવેમ્બર ૫	5 ноября
નવેમ્બર ૪	4 ноября
નવેમ્બર ૩	3 ноября
નવેમ્બર ૨	2 ноября
નવેમ્બર ૧	1 ноября
પારામારિબો	Парамарибо
નવેમ્બર ૩૦	30 ноября
નવેમ્બર ૨૯	29 ноября
નવેમ્બર ૨૮	28 ноября
નવેમ્બર ૨૭	27 ноября
નવેમ્બર ૨૬	26 ноября
નવેમ્બર ૨૫	25 ноября
નવેમ્બર ૨૩	23 ноября
નવેમ્બર ૨૪	24 ноября
નવેમ્બર ૨૧	21 ноября
નવેમ્બર ૨૦	20 ноября
નવેમ્બર ૨૨	22 ноября
નવેમ્બર ૧૯	19 ноября
નવેમ્બર ૧૮	18 ноября
નવેમ્બર ૧૭	17 ноября
નવેમ્બર ૧૬	16 ноября
કાઠમંડુ	Катманду
સીડની	Сидней
મેલબોર્ન	Мельбурн
પર્થ	Перт (Австралия)
નાઈલ નદી	Нил
કોંગો નદી	Конго (река)
ધૂમકેતુ	Комета
જાકાર્તા	Джакарта
જાવા (ટાપુ)	Ява
એડિડાસ	Adidas
વિકિપીડિયા:પ્રયોગસ્થળ	Википедия:Песочница
વિકિપીડિયા:સ્વાગત	Википедия:Добро пожаловать в Википедию
કમ્પ્યુટર હાર્ડવેર	Аппаратное обеспечение
નકશો	Географическая карта
નવસાર	Аммиак
ડૉંગ હેકટર એરપોર્ટ	Донгхой (аэропорт)
શૂન્યાવકાશ	Космическое пространство
આત્મકથા	Автобиография
ખગોળીય દૂરબીન	Телескоп
માઇલી સાઇરસ	Сайрус, Майли
માર્જરિન	Маргарин
મધરબોર્ડ	Материнская плата
USB ડ્રાઇવ	USB-флеш-накопитель
પંજાબ (પાકિસ્તાન)	Пенджаб (Пакистан)
મહાબોધિ મંદિર	Махабодхи
સહ્યાદ્રિ પર્વતમાળા	Западные Гаты
ભારતની પર્વતીય રેલ્વે	Горные железные дороги Индии
કન્ફ્યુશિયસ	Конфуций
કોર્બીન બ્લુ	Блю, Корбин
શ્રેણી:ગણિત	Категория:Математика
ફરો દ્વિપસમૂહ	Фарерские острова
સુરત	Сурат
સાયપ્રસનો રાષ્ટ્રધ્વજ	Флаг Республики Кипр
ઢાંચો:Country data Iran	Шаблон:Флагификация/Иран
બાલી	Бали
માળો (પક્ષી)	Гнездо
લૅરી પેજ	Пейдж, Ларри
ગંગા નદી	Ганг
સેલિન ડીયોન	Дион, Селин
ખંડ	Континент
એડિલેઇડ	Аделаида
પક્ષી	Птицы
રાજધાની	Столица
ઢાંચો:ઇસ્લામ	Шаблон:Ислам
ગુજરાતી ભાષા	Гуджарати
મહિનો	Месяц
ઢાંચો:Portal	Шаблон:Портал
હુઆંગ ઝીયાન-ફાન	Хуан Сяньфань
બિલ ગેટ્સ	Гейтс, Билл
કમ્પ્યુટર મોનિટર	Монитор (устройство)
જ્ઞાનકોશ	Энциклопедия
મુખપૃષ્ઠ	Заглавная страница
સિંધવ	Галит
બાસ્કેટબોલ (રમત)	Баскетбол
ક્રિકેટ	Крикет
યુરેશીયા	Евразия
હિમાલય	Гималаи
કેપ ટાઉન	Кейптаун
કેસ્પિયન સમુદ્ર	Каспийское море
વિન્સેન્ટ વેન ગો	Ван Гог, Винсент
વૅલેન્શિયા નો પ્રદેશ	Валенсия (автономное сообщество)
મોહેં-જો-દડો	Мохенджо-Даро
પેટ્રા	Петра
એવર્ટન ફૂટબોલ ક્લબ	Эвертон (футбольный клуб)
મક્કા	Мекка
ચે ગૂવેરા	Че Гевара, Эрнесто
નોવાક યોકોવિચ	Джокович, Новак
એરબસ એ ૩૮૦	Airbus A380
ચિચેન ઇત્ઝા	Чичен-Ица
તમિલ ભાષા	Тамильский язык
ચા	Чай
માર્કો પોલો	Поло, Марко
પોર્ટલેન્ડ, ઑરેગોન	Портленд (Орегон)
મૂડીવાદ	Капитализм
દેશ	Страна
હિલેરી ક્લિન્ટન	Клинтон, Хиллари
કોનકોર્ડ	Aérospatiale-BAC Concorde
ડોનાલ્ડ ડક	Дональд Дак
સ્ટ્રાસબોર્ગ (ફ્રાન્સ)	Страсбург
ક્રોએશિયન ભાષા	Хорватский язык
શેતાન	Бес (христианство)
રેનો	Renault
કાલિદાસ	Калидаса
ઉલ્કાઓ	Метеороид
ગૌતમ બુદ્ધ	Будда
જૈવ તકનીક	Биотехнология
વિશ્વ બેંક	Всемирный банк
લોકશાહી	Демократия
વૈશ્વિકરણ	Глобализация
નોબૅલ પારિતોષિક	Нобелевская премия
ઇંગ્લેન્ડના એલિઝાબેથ પ્રથમ	Елизавета I
રવિન્દ્રનાથ ટાગોર	Тагор, Рабиндранат
માર્ક ટ્વેઇન	Марк Твен
ઍલન ટ્યુરિંગ	Тьюринг, Алан
આતંકવાદ	Терроризм
નાઝીવાદ	Национал-социализм
વાસ્કો દ ગામા	Васко да Гама
સિંધુ	Инд
કાન	Ухо
આંખ	Глаз
ગીત	Песня
હાથી	Слон
કીડી	Муравьи
આન્દ્રે અગાસી	Агасси, Андре
રીંગણ	Баклажан
હિમવર્ષા	Снег
ડેબિયન	Debian
વિશ્વ વેપાર સંગઠન	Всемирная торговая организация
ચાઇનીઝ ભાષા	Китайский язык
કુદરત	Природа
રક્ત	Кровь
કંકાલતંત્ર	Скелет
ફેફસાં	Лёгкие
મેઘ	Дождь
વૈશ્વિક ઉષ્ણતા	Глобальное потепление
ધરતીકંપ	Землетрясение
સત્ય	Истина
કોમ્પ્યુટર માઉસ	Компьютерная мышь
નેલ્સન મંડેલા	Мандела, Нельсон
માર્ટિન લ્યૂથર કિંગ	Кинг, Мартин Лютер
અવતરણ ચિહ્ન	Кавычки
કુદરતી આફતો	Стихийное бедствие
પૂર	Наводнение
સુનામી	Цунами
જ્વાળામુખી	Вулкан
વાદળ	Облака
ત્રિકોણમિતિ	Тригонометрия
ભૂમિતિ	Геометрия
તેલુગુ ભાષા	Телугу
ગ્રીક મૂળાક્ષરો	Греческий алфавит
શ્રેણી:ફ્રાન્સ	Категория:Франция
શ્રેણી:સંગીત	Категория:Музыка
શ્રેણી:સાહિત્ય	Категория:Литература
નવલકથા	Роман
મહાભારત	Махабхарата
હેરી પોટર	Серия романов о Гарри Поттере
મશક વાજું	Волынка
પીડોફિલિયા (બાળ યૌનશોષણ)	Педофилия
સિકંદર	Александр Македонский
સંસ્કૃતિ	Цивилизация
પુરુષ	Мужчина
લગ્ન	Брачный союз
ફાંસીની સજા	Смертная казнь
ગુલામી પ્રથા	Рабство
દૂધ	Молоко
પર્વત	Гора
અશોક	Ашока
અકબર	Акбар I Великий
હોંગકોંગ	Гонконг
કરાચી	Карачи
લાગોસ	Лагос
આર્કિમીડીઝ	Архимед
થૉમસ ઍડિસન	Эдисон, Томас Алва
યુક્લિડ	Евклид
ડોમેન નામ પ્રણાલી	DNS
સંકેતલિપિ	Криптография
ઈન્ટરનેટ પ્રોટોકોલ	IP
પ્રસારણ નિયંત્રણ પ્રોટોકોલ	TCP
યુનિકોડ	Юникод
