Āfrika	Африка
Frideriks Šopēns	Шопен, Фредерик
Rentgenijs	Рентгений
Toskāna	Тоскана
Leonards Koens	Коэн, Леонард
Kopernikijs	Коперниций
Marke	Марке
Umbrija	Умбрия
Lacio	Лацио
Abruco	Абруццо
Apenīni	Апеннинские горы
Alpi	Альпы
Karpati	Карпаты
Grenoble	Гренобль
Blēzs Paskāls	Паскаль, Блез
Dambrete	Шашки
Dortmunde	Дортмунд
Gente	Гент
Čikāga	Чикаго
The Beatles	The Beatles
Ununtrijs	Унунтрий
Flerovijs	Флеровий
Ununpentijs	Унунпентий
Livermorijs	Ливерморий
Ununseptijs	Унунсептий
Ununoktijs	Унуноктий
Komo (pilsēta)	Комо
Māstrihta	Маастрихт
Arnema	Арнем
Ziema	Зима
Pavasaris	Весна
Vasara	Лето
Rudens	Осень
Ekvinokcija	Равноденствие
Sadams Huseins	Саддам Хусейн
Osama bin Ladens	Усама бен Ладен
Spāņu valoda	Испанский язык
Frīdrihs Hajeks	Хайек, Фридрих Август фон
Montevideo	Монтевидео
Johans Sebastians Bahs	Бах, Иоганн Себастьян
Antonio Vivaldi	Вивальди, Антонио
Toljati	Тольятти
Pitsburga	Питтсбург
Opera	Опера
Filadelfija	Филадельфия
Kolkata	Калькутта
Toljati "Lada"	Лада (хоккейный клуб)
Opel Astra	Opel Astra
Čennai	Ченнаи
Deli	Дели
Daka	Дакка
Bengalūru	Бангалор
Rietumbengāle	Западная Бенгалия
Zirnekļi	Пауки
Zirnekļveidīgie	Паукообразные
Helicerāti	Хелицеровые
Posmkāji	Членистоногие
Haidarābādu	Хайдарабад (Индия)
Islāmābāda	Исламабад
Tripura	Трипура
Auglis	Плод
Pērtiķi	Обезьяны
Nauda	Деньги
Virdžīnija	Виргиния
Rietumvirdžīnija	Западная Виргиния
Materhorns	Маттерхорн
Dungeons & Dragons	Dungeons & Dragons
Dārzeņpipars	Перец овощной
Hūrons	Гурон
Ņujorka (štats)	Нью-Йорк (штат)
Cērijs	Церий
Prazeodīms	Празеодим
Rodailenda	Род-Айленд
Neodīms	Неодим
Kukaiņi	Насекомые
Mērilenda	Мэриленд
Delavēra	Делавэр
Vladimirs Ļeņins	Ленин, Владимир Ильич
Eiropijs	Европий
Ohaio (štats)	Огайо
Vergilijs	Вергилий
Nikolo Makjavelli	Макиавелли, Никколо
Pensilvānija	Пенсильвания
Frančesko Petrarka	Франческо Петрарка
Džovanni Bokačo	Джованни Боккаччо
Luidži Pirandello	Пиранделло, Луиджи
Iterzene	Итерзен
Oktaviāns	Октавиан Август
Microsoft Windows	Windows
Tibērijs	Тиберий
Ņūdžersija	Нью-Джерси
Kaligula	Калигула
Gibraltārs	Гибралтар
Klaudijs	Клавдий
Somu valoda	Финский язык
Nērons	Нерон
Indiāna	Индиана
Otons	Отон
Vitēlijs	Вителлий
Nokia	Nokia
Vespasiāns	Веспасиан
Automašīna	Автомобиль
Tits	Тит (римский император)
Turīnas "Juventus"	Ювентус
Domiciāns	Домициан
Nerva	Нерва
Trajāns	Траян
Rodžers Federers	Федерер, Роджер
Adriāns	Адриан
Džordžija	Джорджия
Antonijs Pijs	Антонин Пий
Marks Aurēlijs	Марк Аврелий
KDE	KDE
Komods	Коммод
Zagreba	Загреб
Rādžastāna	Раджастхан
Kampānija	Кампания (Италия)
Teksasa	Техас
Septimijs Severs	Септимий Север
Molize	Молизе
Tamilnāda	Тамилнад
Karakalla	Каракалла
Apūlija	Апулия
Dženova	Генуя
Bruno Mars	Бруно Марс
Pinatubo	Пинатубо
Bazilikata	Базиликата
Ziemeļkarolīna	Северная Каролина
Lauka hokejs	Хоккей на траве
Dienvidkarolīna	Южная Каролина
Dženovas "Sampdoria"	Сампдория
Kalabrija	Калабрия
Sicīlija	Сицилия
Manila	Манила
Sardīnija	Сардиния
Ferdinands Markoss	Маркос, Фердинанд
Sebu	Себу (город)
Luāra (upe)	Луара
Moriss Kornēlijs Ešers	Эшер, Мауриц Корнелис
Sēna	Сена
Krona slimība	Болезнь Крона
Davao	Давао
Kesonsitija	Кесон-Сити
Lemāna	Ле-Ман
Bordo	Бордо
Korasona Akino	Акино, Корасон
Sistēmiskā sarkanā vilkēde	Системная красная волчанка
Buenosairesa	Буэнос-Айрес
Urķis	Хакер
Mehiko	Мехико
Tokija	Токио
Lapasa	Ла-Пас (Боливия)
Barselona	Барселона
Ananass	Ананас крупнохохолковый
Misisipi (štats)	Миссисипи (штат)
Fernāns Magelāns	Магеллан, Фернан
Misisipi (upe)	Миссисипи
Utarpradēša	Уттар-Прадеш
Utarakhanda	Уттаракханд
Mizorāma	Мизорам
Sikima	Сикким
Patagonija	Патагония
Tenesī	Теннесси
Rihards Vāgners	Вагнер, Рихард
Roberts Luiss Stīvensons	Стивенсон, Роберт Льюис
Nāgpura	Нагпур
Dženisa Džoplina	Джоплин, Дженис
Abidžana	Абиджан
Abū Dabī	Абу-Даби
Astana	Астана
Ņūmeksika	Нью-Мексико
Ramzess Lielais	Рамсес II
Atēnas	Афины
Minesota	Миннесота
Bagdāde	Багдад
Karakasa	Каракас
Universālais koordinētais laiks	Всемирное координированное время
Viskonsina	Висконсин
Pune	Пуна
Cicerons	Марк Туллий Цицерон
AC Milan	Милан (футбольный клуб)
Sindija Lopere	Лопер, Синди
Aiova	Айова
Nebraska	Небраска
Gvatemala (pilsēta)	Гватемала (город)
Kanzasa	Канзас
Havana	Гавана
Tabaka	Табак (вещество)
Hindi	Хинди
Marathu valoda	Маратхи (язык)
Internet Explorer	Internet Explorer
Cigarete	Сигарета
Ganēša	Ганеша
Misūri (štats)	Миссури (штат)
Georgs Simons Oms	Ом, Георг Симон
Luiziāna	Луизиана
Nāgālenda	Нагаленд
Kentuki	Кентукки
Tims Linsekums	Линсекам, Тим
Alfa Romeo 159	Alfa Romeo 159
Ārkanzasa	Арканзас
Nīls Ārmstrongs	Армстронг, Нил
Urdu	Урду
Čārlzs Lindbergs	Линдберг, Чарльз
Sīgfrids Ēdstrems	Эдстрём, Зигфрид
Edīte Piafa	Пиаф, Эдит
Osijeka	Осиек
Elba	Эльба (река)
Rijeka	Риека
Emsa	Эмс
Oklahoma	Оклахома
Vēzere	Везер
Johans Bleiks	Блейк, Йохан
Džastins Getlins	Гэтлин, Джастин
Donava	Дунай
Kirani Džeimss	Джеймс, Кирани
Deivids Rudiša	Рудиша, Дэвид
Splita	Сплит (город)
Rūra (upe)	Рур (приток Рейна)
Žaks Brels	Брель, Жак
Mozele	Мозель
Maina	Майн (приток Рейна)
Mohameds Farahs	Фарах, Мохаммед
Nekāra	Неккар
Ezekiels Kemboi	Кембои, Эзекиль
Zāle (upe)	Зале
Hāfele	Хафель
Šprē	Шпре
Džeisons Ričardsons	Ричардсон, Джейсон
Elde	Эльде
Felikss Sančess	Санчес, Феликс
Ziemeļjūra	Северное море
Skageraks	Скагеррак
Maskavas apgabals	Московская область
Nesta Kārters	Картер, Неста
Ķīle	Киль (город)
Šverīne	Шверин
Potsdama	Потсдам
Hannovere	Ганновер
Diseldorfa	Дюссельдорф
Mainca	Майнц
Vīsbādene	Висбаден
Dubrovnika	Дубровник
Zārbrikene	Саарбрюккен
Minhene	Мюнхен
Samaras apgabals	Самарская область
Erfurte	Эрфурт
Drēzdene	Дрезден
Magdeburga	Магдебург
Volejbols	Волейбол
Insbruka	Инсбрук
Brēgenca	Брегенц
Vīne	Вена
Reno Lavilenī	Лавиллени, Рено
Madonna (mūziķe)	Мадонна (певица)
Kopenhāgena	Копенгаген
Kaļiņingradas apgabals	Калининградская область
Stokholma	Стокгольм
Tomašs Majevskis	Маевский, Томаш
Helsinki	Хельсинки
Dāvids Štorls	Шторль, Давид
Murmanskas apgabals	Мурманская область
Rīze Hofa	Хоффа, Риз
Dublina	Дублин
Elagabals	Гелиогабал
Murmanska	Мурманск
Reikjavīka	Рейкьявик
Roberts Hartings	Хартинг, Роберт
Kakaši Hatake	Какаси Хатакэ
Ella Ficdžeralda	Фицджеральд, Элла
Tallina	Таллин
Rīga	Рига
Zanzibāra	Занзибар (автономия)
Gerds Kanters	Кантер, Герд
Lūiss Ārmstrongs	Армстронг, Луи
Bratislava	Братислава
Budapešta	Будапешт
Primožs Kozmuss	Козмус, Примож
Kodži Murofuši	Мурофуси, Кодзи
Šarls Aznavūrs	Шарль Азнавур
Kešorns Volkots	Уолкотт, Кешорн
Eštons Ītons	Итон, Эштон
Gdaņska	Гданьск
Trejs Hārdijs	Харди, Трей
Frankfurte pie Mainas	Франкфурт-на-Майне
Vroclava	Вроцлав
Kočina	Коччи
Lantāns	Лантан
Prometijs	Прометий
Astronomiskā vienība	Астрономическая единица
Samārijs	Самарий
Bagio	Багио
Ačeha	Ачех (провинция)
Kaļiņingrada	Калининград
Decijs	Деций Траян
Gadolīnijs	Гадолиний
Death Note	Тетрадь смерти
Zinedins Zidāns	Зидан, Зинедин
Terbijs	Тербий
Katoļticība	Католицизм
Luksemburga (pilsēta)	Люксембург (город)
Disprozijs	Диспрозий
Vaduca	Вадуц
Bībele	Библия
Holmijs	Гольмий
Sanmarīno (pilsēta)	Сан-Марино (город)
Erbijs	Эрбий
Pnompeņa	Пномпень
Arhangeļska	Архангельск
Tūlijs	Тулий
Hošimina	Хошимин
Iterbijs	Иттербий
Lutēcijs	Лютеций
Hanoja	Ханой
Patiesā Jēzus baznīca	Церковь истинного Иисуса
Angļu valoda	Английский язык
Bangkoka	Бангкок
Volina (pilsēta)	Волин (город)
Andora la Velja	Андорра-ла-Велья
Kualalumpūra	Куала-Лумпур
Taibei	Тайбэй
Amerīcijs	Америций
Odesa	Одесса
Arhangeļskas apgabals	Архангельская область
Kirijs	Кюрий
Donhoja	Донгхой
Konsepsjona	Консепсьон (город, Чили)
Berklijs	Берклий
Bergamo "Atalanta"	Аталанта (футбольный клуб)
Kalifornijs	Калифорний
Diplomātija	Дипломатия
Boloņa	Болонья
Einšteinijs	Эйнштейний
Bologna F.C. 1909	Болонья (футбольный клуб)
Petrozavodska	Петрозаводск
Fermijs	Фермий
Kaljāri	Кальяри
Mendelevijs	Менделевий
Kijeva	Киев
Cagliari Calcio	Кальяри (футбольный клуб)
Nobēlijs	Нобелий
Katānija	Катания
Ontārio	Онтарио
Lourensijs	Лоуренсий
Igo Loriss	Льорис, Уго
Olivjē Žirū	Жиру, Оливье
Karīms Benzemā	Бензема, Карим
Florāns Maluda	Малуда, Флоран
Karēlijas Republika	Республика Карелия
Patriss Evra	Эвра, Патрис
Franks Riberī	Рибери, Франк
Samīrs Nasrī	Насри, Самир
Gaels Klišī	Клиши, Гаэль
Otava	Оттава
Anja Pēšone	Персон, Аня
Ēriks Abidāls	Абидаль, Эрик
Džibrils Sisē	Сиссе, Джибриль
Viljams Galā	Галлас, Вильям
Bakarijs Saņa	Санья, Бакари
Nikolā Anelka	Анелька, Николя
Abu Diabī	Диаби, Абу
Benjamins Raihs	Райх, Бенджамин
Jupitera pavadoņi	Спутники Юпитера
Džūba	Джуба
Manitoba	Манитоба
Alberto Tomba	Томба, Альберто
Alberta	Альберта
Jaunskotija	Новая Шотландия
Erevāna	Ереван
Hermanis Maiers	Майер, Херман
Vologda	Вологда
Koņskovola	Коньсковоля
Dāresalāma	Дар-эс-Салам
Hartūma	Хартум
Ņūbransvika	Нью-Брансуик
Formula 1	Формула-1
Saturna pavadoņi	Спутники Сатурна
Britu Kolumbija	Британская Колумбия
Prinča Edvarda Sala (Kanāda)	Остров Принца Эдуарда
2000. gads	2000 год
2003. gads	2003 год
2002. gads	2002 год
2001. gads	2001 год
Saskačevana	Саскачеван
2012. gads	2012 год
2011. gads	2011 год
2010. gads	2010 год
2009. gads	2009 год
Oglekļa dioksīds	Диоксид углерода
2013. gads	2013 год
2014. gads	2014 год
2015. gads	2015 год
Ņūfaundlenda un Labradora	Ньюфаундленд и Лабрадор
2008. gads	2008 год
JavaScript	JavaScript
Ziemeļrietumu Teritorijas	Северо-Западные территории
Jukona (teritorija)	Юкон (территория)
2004. gads	2004 год
Vologdas apgabals	Вологодская область
2005. gads	2005 год
2006. gads	2006 год
Nunavuta	Нунавут
2007. gads	2007 год
Oglekļa monoksīds	Монооксид углерода
Verona	Верона
Ikaluita	Икалуит
1900. gads	1900 год
1901. gads	1901 год
Fransuā Miterāns	Миттеран, Франсуа
Tits Līvijs	Тит Ливий
Džuzepe Farina	Фарина, Джузеппе
Šarls de Golls	Де Голль, Шарль
1902. gads	1902 год
Florence	Флоренция
1903. gads	1903 год
1904. gads	1904 год
1905. gads	1905 год
1907. gads	1907 год
1906. gads	1906 год
ACF Fiorentina	Фиорентина
HTML5	HTML5
Seneka Jaunākais	Луций Анней Сенека
1908. gads	1908 год
1909. gads	1909 год
1992. gads	1992 год
Jelounaifa	Йеллоунайф
1991. gads	1991 год
JSON	JSON
1990. gads	1990 год
1993. gads	1993 год
