Aafrika	Африка
Trygve Halvdan Lie	Ли, Трюгве
Röntgeenium	Рентгений
Toscana	Тоскана
Leponti Alpid	Лепонтинские Альпы
Leonard Cohen	Коэн, Леонард
Reetia Alpid	Ретийские Альпы
Koperniitsium	Коперниций
Marche	Марке
Umbria	Умбрия
Kategooria:!JuurKategooria	Категория:Всё
Lazio	Лацио
Dolomiidid	Доломитовые Альпы
Abruzzo	Абруццо
Apenniinid	Апеннинские горы
Alpid	Альпы
Jansenism	Янсенизм
Karpaadid	Карпаты
Grenoble	Гренобль
Blaise Pascal	Паскаль, Блез
Kabe	Шашки
Dortmund	Дортмунд
Gent	Гент
Chicago	Чикаго
The Beatles	The Beatles
Ununtrium	Унунтрий
Fleroovium	Флеровий
Ununpentium	Унунпентий
Livermoorium	Ливерморий
Ununseptium	Унунсептий
Ununoktium	Унуноктий
Como	Комо
Maastricht	Маастрихт
Arnhem	Арнем
Talv	Зима
Kevad	Весна
Suvi	Лето
Sügis	Осень
Võrdpäevsus	Равноденствие
Şaddām Ḩusayn	Саддам Хусейн
Usāmah ibn Lādin	Усама бен Ладен
Hispaania keel	Испанский язык
Friedrich August von Hayek	Хайек, Фридрих Август фон
Montevideo	Монтевидео
Johann Sebastian Bach	Бах, Иоганн Себастьян
Antonio Vivaldi	Вивальди, Антонио
Togliatti	Тольятти
Pittsburgh	Питтсбург
Ooper	Опера
Philadelphia	Филадельфия
Kolkata	Калькутта
Opel Astra	Opel Astra
Chennai	Ченнаи
Delhi	Дели
Dhaka	Дакка
Bangalore	Бангалор
Lääne-Bengali osariik	Западная Бенгалия
Ämblikulised	Пауки
Ämblikulaadsed	Паукообразные
Lõugtundlased	Хелицеровые
Lülijalgsed	Членистоногие
Hyderabad	Хайдарабад (Индия)
Islamabad	Исламабад
Tripura	Трипура
Vili	Плод
Raha	Деньги
Virginia	Виргиния
Lääne-Virginia	Западная Виргиния
Matterhorn	Маттерхорн
Dungeons & Dragons	Dungeons & Dragons
Harilik paprika	Перец овощной
Piran	Пиран
Huroni järv	Гурон
New Yorgi osariik	Нью-Йорк (штат)
Tseerium	Церий
Praseodüüm	Празеодим
Rhode Island	Род-Айленд
Neodüüm	Неодим
Putukad	Насекомые
Maryland	Мэриленд
Delaware	Делавэр
Vladimir Lenin	Ленин, Владимир Ильич
Euroopium	Европий
Ohio	Огайо
Vergilius	Вергилий
Niccolò Machiavelli	Макиавелли, Никколо
Pennsylvania	Пенсильвания
Francesco Petrarca	Франческо Петрарка
Giovanni Boccaccio	Джованни Боккаччо
Luigi Pirandello	Пиранделло, Луиджи
Uetersen	Итерзен
Augustus	Октавиан Август
Microsoft Windows	Windows
Tiberius	Тиберий
New Jersey osariik	Нью-Джерси
Caligula	Калигула
Gibraltar	Гибралтар
Claudius	Клавдий
Soome keel	Финский язык
Nero	Нерон
Galba	Гальба
Indiana	Индиана
Otho	Отон
Vitellius	Вителлий
Nokia (ettevõte)	Nokia
Vespasianus	Веспасиан
Auto	Автомобиль
Titus	Тит (римский император)
Torino Juventus	Ювентус
Domitianus	Домициан
Nerva	Нерва
Traianus	Траян
Roger Federer	Федерер, Роджер
Hadrianus	Адриан
Georgia	Джорджия
Antoninus Pius	Антонин Пий
Marcus Aurelius	Марк Аврелий
KDE	KDE
Lucius Verus	Луций Вер
Commodus	Коммод
Zagreb	Загреб
Pertinax	Пертинакс
Rajasthan	Раджастхан
Campania	Кампания (Италия)
Texas	Техас
Didius Julianus	Дидий Юлиан
Septimius Severus	Септимий Север
Molise	Молизе
Tamil Nadu	Тамилнад
Caracalla	Каракалла
Apuulia	Апулия
Genova	Генуя
Bruno Mars	Бруно Марс
Pinatubo	Пинатубо
Basilicata	Базиликата
Põhja-Carolina	Северная Каролина
Maahoki	Хоккей на траве
Lõuna-Carolina	Южная Каролина
UC Sampdoria	Сампдория
Calabria	Калабрия
Sitsiilia maakond	Сицилия
Manila	Манила
Sardiinia	Сардиния
Ferdinand Marcos	Маркос, Фердинанд
Noynoy Aquino	Акино, Бенигно III
Loire	Луара
Maurits Cornelis Escher	Эшер, Мауриц Корнелис
Seine	Сена
Crohni tõbi	Болезнь Крона
Davao	Давао
Quezon City	Кесон-Сити
Le Mans	Ле-Ман
Bordeaux	Бордо
Corazon Aquino	Акино, Корасон
Mayon	Майон
Süsteemne erütematoosne luupus	Системная красная волчанка
Buenos Aires	Буэнос-Айрес
Häkker	Хакер
México	Мехико
Tōkyō prefektuur	Токио
La Paz	Ла-Пас (Боливия)
Barcelona	Барселона
Ananass	Ананас крупнохохолковый
Mississippi osariik	Миссисипи (штат)
Fernão de Magalhães	Магеллан, Фернан
Mississippi	Миссисипи
Uttar Pradesh	Уттар-Прадеш
Uttarakhand	Уттаракханд
José Rizal	Рисаль, Хосе
Mizoram	Мизорам
Manuel Quezón	Кесон, Мануэль
Sikkim	Сикким
Patagoonia	Патагония
Tennessee	Теннесси
Richard Wagner	Вагнер, Рихард
Robert Louis Stevenson	Стивенсон, Роберт Льюис
Janis Joplin	Джоплин, Дженис
Abidjan	Абиджан
Abu Dhabi	Абу-Даби
Astana	Астана
New Mexico	Нью-Мексико
Ramses II	Рамсес II
Ateena	Афины
Ramses I	Рамсес I
Minnesota	Миннесота
Bagdad	Багдад
Caracas	Каракас
UTC	Всемирное координированное время
Wisconsin	Висконсин
Cicero	Марк Туллий Цицерон
AC Milan	Милан (футбольный клуб)
Cyndi Lauper	Лопер, Синди
Iowa	Айова
Nebraska	Небраска
Guatemala (linn)	Гватемала (город)
Kansas	Канзас
Havanna	Гавана
Tubakas (aine)	Табак (вещество)
Hindi keel	Хинди
Marathi keel	Маратхи (язык)
Internet Explorer	Internet Explorer
Sigar	Сигара
Sigaret	Сигарета
Missouri osariik	Миссури (штат)
Georg Simon Ohm	Ом, Георг Симон
Louisiana	Луизиана
Luigi Galvani	Гальвани, Луиджи
Nagaland	Нагаленд
Kentucky	Кентукки
Arkansas	Арканзас
Neil Armstrong	Армстронг, Нил
Urdu keel	Урду
Charles Lindbergh	Линдберг, Чарльз
Altona	Альтона
Édith Piaf	Пиаф, Эдит
Eimsbüttel	Аймсбюттель
Wandsbek	Вандсбек
Harburg	Харбург (Гамбург)
Bergedorf	Бергедорф
Osijek	Осиек
Elbe	Эльба (река)
Françoise Sagan	Саган, Франсуаза
Rijeka	Риека
Ems	Эмс
Oklahoma	Оклахома
Weser	Везер
Yohan Blake	Блейк, Йохан
Justin Gatlin	Гэтлин, Джастин
Doonau	Дунай
Kirani James	Джеймс, Кирани
David Lekuta Rudisha	Рудиша, Дэвид
Nijel Amos	Амос, Найджел
Värss	Стих
Split	Сплит (город)
Ruhr	Рур (приток Рейна)
Jacques Brel	Брель, Жак
Moseli jõgi	Мозель
Main	Майн (приток Рейна)
Neckar	Неккар
Aare jõgi	Аре
Ezekiel Kemboi	Кембои, Эзекиль
Saale	Зале
Havel	Хафель
Spree	Шпре
Félix Sánchez	Санчес, Феликс
Põhjameri	Северное море
Skagerrak	Скагеррак
Moskva oblast	Московская область
Nesta Carter	Картер, Неста
Stephen Kiprotich	Кипротич, Стивен
Abel Kirui	Кируи, Абель
Kiel	Киль (город)
Schwerin	Шверин
Potsdam	Потсдам
Hannover	Ганновер
Sergei Kirdjapkin	Кирдяпкин, Сергей Александрович
Düsseldorf	Дюссельдорф
Mainz	Майнц
Wiesbaden	Висбаден
Dubrovnik	Дубровник
Saarbrücken	Саарбрюккен
München	Мюнхен
Samara oblast	Самарская область
Erfurt	Эрфурт
Dresden	Дрезден
Ivan Uhhov	Ухов, Иван Сергеевич
Magdeburg	Магдебург
Võrkpall	Волейбол
Innsbruck	Инсбрук
Bregenz	Брегенц
Mu‘taz ‘Īsá Barshim	Баршим, Мутаз Эсса
Viin	Вена
Renaud Lavillenie	Лавиллени, Рено
Björn Otto	Отто, Бьёрн
Madonna (laulja)	Мадонна (певица)
Kopenhaagen	Копенгаген
Kaliningradi oblast	Калининградская область
Macrinus	Макрин
Stockholm	Стокгольм
Helsingi	Хельсинки
David Storl	Шторль, Давид
Murmanski oblast	Мурманская область
Reese Hoffa	Хоффа, Риз
Dublin	Дублин
Elagabalus	Гелиогабал
Murmansk	Мурманск
Reykjavík	Рейкьявик
Robert Harting	Хартинг, Роберт
Ella Fitzgerald	Фицджеральд, Элла
Severus Alexander	Александр Север
Tallinn	Таллин
Eḩsān Ḩadādī	Хаддади, Эхсан
Epitaaf	Эпитафия
Riia	Рига
Sansibar	Занзибар (автономия)
Gerd Kanter	Кантер, Герд
Maximinus Thrax	Максимин I Фракиец
Louis Armstrong	Армстронг, Луи
Bratislava	Братислава
Budapest	Будапешт
Gordianus I	Гордиан I
Kōji Murofushi	Мурофуси, Кодзи
Charles Aznavour	Шарль Азнавур
Gdańsk	Гданьск
Trey Hardee	Харди, Трей
Frankfurt	Франкфурт-на-Майне
Pupienus	Пупиен
Wrocław	Вроцлав
Cochin	Коччи
Lantaan	Лантан
Gordianus II	Гордиан II
Balbinus	Бальбин
Promeetium	Прометий
Astronoomiline ühik	Астрономическая единица
Gordianus III	Гордиан III
Philippus Araablane	Филипп I Араб
Samaarium	Самарий
Aceh	Ачех (провинция)
Kárášjohka vald	Карасйок
Kaliningrad	Калининград
Decius	Деций Траян
Gadoliinium	Гадолиний
Death Note	Тетрадь смерти
Zinédine Zidane	Зидан, Зинедин
Terbium	Тербий
Katoliiklus	Католицизм
Luxembourg	Люксембург (город)
Düsproosium	Диспрозий
Vaduz	Вадуц
Piibel	Библия
Holmium	Гольмий
San Marino (linn)	Сан-Марино (город)
Erbium	Эрбий
Phnom Penh	Пномпень
Arhangelsk	Архангельск
Tuulium	Тулий
Hồ Chí Minh (linn)	Хошимин
Üterbium	Иттербий
Luteetsium	Лютеций
Hanoi	Ханой
Tõeline Jeesuse Kirik	Церковь истинного Иисуса
Inglise keel	Английский язык
Bangkok	Бангкок
Andorra la Vella	Андорра-ла-Велья
Kuala Lumpur	Куала-Лумпур
Taipei	Тайбэй
Ameriitsium	Америций
Odessa	Одесса
Arhangelski oblast	Архангельская область
Kuurium	Кюрий
Đồng Hới	Донгхой
Concepción	Консепсьон (город, Чили)
Fyresdali vald	Фюресдал
Berkeelium	Берклий
Düren	Дюрен
Atalanta BC	Аталанта (футбольный клуб)
Kalifornium	Калифорний
Diplomaatia	Дипломатия
Bologna	Болонья
Einsteinium	Эйнштейний
Bologna FC 1909	Болонья (футбольный клуб)
Memphis Depay	Депай, Мемфис
Petroskoi	Петрозаводск
Fermium	Фермий
Cagliari	Кальяри
Mendeleevium	Менделевий
Kiiev	Киев
Cagliari Calcio	Кальяри (футбольный клуб)
Nobeelium	Нобелий
Catania	Катания
Ontario	Онтарио
Lavrentsium	Лоуренсий
Yohan Cabaye	Кабай, Йоан
Olivier Giroud	Жиру, Оливье
Karim Benzema	Бензема, Карим
Florent Malouda	Малуда, Флоран
Karjala Vabariik	Республика Карелия
Laurent Koscielny	Косельни, Лоран
Patrice Évra	Эвра, Патрис
Franck Ribéry	Рибери, Франк
Mathieu Valbuena	Вальбуэна, Матьё
Samir Nasri	Насри, Самир
Blaise Matuidi	Матюиди, Блез
Jérémy Ménez	Менез, Жереми
Hatem Ben Arfa	Бен Арфа, Хатем
Gaël Clichy	Клиши, Гаэль
Ottawa	Оттава
Anja Pärson	Персон, Аня
Éric Abidal	Абидаль, Эрик
William Gallas	Галлас, Вильям
Bacary Sagna	Санья, Бакари
Nicolas Anelka	Анелька, Николя
Veenuse atmosfäär	Атмосфера Венеры
Sébastien Squillaci	Скиллачи, Себастьен
Abou Diaby	Диаби, Абу
Benjamin Raich	Райх, Бенджамин
Juba (Lõuna-Sudaan)	Джуба
Manitoba provints	Манитоба
Alberto Tomba	Томба, Альберто
Alberta	Альберта
Nova Scotia	Новая Шотландия
Jerevan	Ереван
Hermann Maier	Майер, Херман
Vologda	Вологда
Vreni Schneider	Шнайдер, Френи
Końskowola	Коньсковоля
Dar es Salaam	Дар-эс-Салам
Hartum	Хартум
New Brunswick	Нью-Брансуик
Vormel 1	Формула-1
Briti Columbia	Британская Колумбия
Prints Edwardi saar	Остров Принца Эдуарда
2000	2000 год
2003	2003 год
2002	2002 год
2001	2001 год
Saskatchewani provints	Саскачеван
2012	2012 год
Masashi Kishimoto	Кисимото, Масаси
2011	2011 год
2010	2010 год
2009	2009 год
Süsihappegaas	Диоксид углерода
2013	2013 год
2014	2014 год
2015	2015 год
Newfoundland ja Labrador	Ньюфаундленд и Лабрадор
2008	2008 год
