افریقہ	Африка
گیڈولنیئم	Гадолиний
زین الدین یزید زیدان	Зидан, Зинедин
ٹربیئم	Тербий
لکسمبرگ (شہر)	Люксембург (город)
ڈسپروزیئم	Диспрозий
واڈوز	Вадуц
کتاب مقدس	Библия
ہولمیئم	Гольмий
سان مارینو شہر	Сан-Марино (город)
عیربیئم	Эрбий
پنوم پن	Пномпень
آرخانگلسک	Архангельск
تھلیئم	Тулий
ہو چی من	Хошимин
یٹّربیئم	Иттербий
مالایبالائی	Малайбалай
لوٹیٹیئم	Лютеций
ہنوئی	Ханой
کلیسائے عیسوی حقیقی	Церковь истинного Иисуса
انگریزی زبان	Английский язык
بنکاک	Бангкок
انڈورا لا ویلا	Андорра-ла-Велья
کوالالمپور	Куала-Лумпур
جزائر بانگکا بیلیٹنگ	Банка-Белитунг
تائپے	Тайбэй
امریکیئم	Америций
اودیسا	Одесса
آرخانگلسک اوبلاست	Архангельская область
کیوریئم	Кюрий
دونگ ہوئی	Донгхой
کونسیپشیون	Консепсьон (город, Чили)
برکیلیئم	Берклий
کیلیفورنیئم	Калифорний
سفارت کاری	Дипломатия
بنگکولو	Бенкулу (провинция)
بلونیا	Болонья
آئنسٹائنیئم	Эйнштейний
پیٹروزاودسک	Петрозаводск
Fermium	Фермий
Mendelevium	Менделевий
کیف	Киев
Nobelium	Нобелий
انٹاریو	Онтарио
Lawrencium	Лоуренсий
عادل رامی	Рами, Адиль
کریم بنزیما	Бензема, Карим
جمہوریہ کریلیا	Республика Карелия
فرانک ریبری	Рибери, Франк
سمیر نصری	Насри, Самир
حاتم بن عرفہ	Бен Арфа, Хатем
اوٹاوا	Оттава
خلائی دوڑ	Космическая гонка
ایرک ابیدال	Абидаль, Эрик
جبریل سیسے	Сиссе, Джибриль
باکاری سانا	Санья, Бакари
نیکولا آنلکا	Анелька, Николя
ابو دیابی	Диаби, Абу
جوبا	Джуба
مانیٹوبا	Манитоба
البرٹا	Альберта
نووا سکوشیا	Новая Шотландия
یریوان	Ереван
کونسکوولا	Коньсковоля
دارالسلام	Дар-эс-Салам
خرطوم	Хартум
نیو برنزویک	Нью-Брансуик
فورملا ون	Формула-1
برٹش کولمبیا	Британская Колумбия
ژیوور	Живор
پرنس ایڈورڈ آئی لینڈ	Остров Принца Эдуарда
2000ء	2000 год
2003ء	2003 год
2002ء	2002 год
2001ء	2001 год
ساسکچیوان	Саскачеван
2012ء	2012 год
2011ء	2011 год
2010ء	2010 год
2009ء	2009 год
کاربن دو اکسید	Диоксид углерода
2013ء	2013 год
2014ء	2014 год
2015ء	2015 год
نیو فاؤنڈ لینڈ اور لیبراڈور	Ньюфаундленд и Лабрадор
2008ء	2008 год
جاوا سکرپٹ	JavaScript
شمال مغربی علاقہ جات، کینیڈا	Северо-Западные территории
يوكون	Юкон (территория)
2004ء	2004 год
ولوگدا اوبلاست	Вологодская область
2005ء	2005 год
2006ء	2006 год
نناوت	Нунавут
2007ء	2007 год
Carbon monoxide	Монооксид углерода
اکالوئٹ	Икалуит
1900ء	1900 год
1901ء	1901 год
جسیپی فارینہ	Фарина, Джузеппе
چارلس ڈیگال	Де Голль, Шарль
1902ء	1902 год
فلورنس	Флоренция
1903ء	1903 год
1904ء	1904 год
1905ء	1905 год
1907ء	1907 год
1906ء	1906 год
جامبی	Джамби (провинция)
1908ء	1908 год
1909ء	1909 год
وائٹ ہارس (یوکون)	Уайтхорс
1992ء	1992 год
یلوکنیفے	Йеллоунайф
1991ء	1991 год
1990ء	1990 год
1993ء	1993 год
ایسین	Эссен
1994ء	1994 год
1995ء	1995 год
یوآن مینوعل فانگیو	Фанхио, Хуан Мануэль
1996ء	1996 год
کومی جمہوریہ	Республика Коми
1910ء	1910 год
1911ء	1911 год
1912ء	1912 год
پیمانی سمتیہ تخطیط	SVG
لائپزش	Лейпциг
1913ء	1913 год
سینٹ جانز، نیوفنلینڈ اور لیبراڈار	Сент-Джонс (Ньюфаундленд и Лабрадор)
1914ء	1914 год
1915ء	1915 год
ایلبرٹو اسکاری	Аскари, Альберто
1916ء	1916 год
1997ء	1997 год
1998ء	1998 год
نورنبرگ	Нюрнберг
1999ء	1999 год
1917ء	1917 год
1918ء	1918 год
غذا	Пища
ایڈمنٹن	Эдмонтон
بنیادی بار	Элементарный электрический заряд
سانپ	Змеи
مائیک ہوتھورن	Хоторн, Майк
لامپونگ	Лампунг
روشنی کی رفتار	Скорость света
توسیعی مارک اپ زبان	XML
دہنی جماع	Оральный секс
ریجینا، ساسکچیوان	Реджайна
جسکا د ایستاں	Жискар д’Эстен, Валери
جیک بریبیم	Брэбем, Джек
نیوٹرینو	Нейтрино
شارلٹٹاؤن	Шарлоттаун
وکٹوریا، برٹش کولمبیا	Виктория (Британская Колумбия)
ونی پیگ	Виннипег
فریڈریکٹن (نیو برنزوک)	Фредериктон
شمالی سماٹرا	Северная Суматра
ہیلی فیکس (نووا سکوشیا)	Галифакс (Новая Шотландия)
سیکتیوکار	Сыктывкар
کیوبک شہر	Квебек (город)
متناسق عالمی وقت−12:00	UTC−12:00
1 جنوری	1 января
2 جنوری	2 января
سبھاش چندر بوس	Бос, Субхас Чандра
متناسق عالمی وقت−11:00	UTC−11:00
1920ء	1920 год
3 جنوری	3 января
1919ء	1919 год
1921ء	1921 год
متناسق عالمی وقت−10:00	UTC−10:00
نینیتس خود مختار آکرگ	Ненецкий автономный округ
1922ء	1922 год
لونڈ	Лунд
4 جنوری	4 января
1923ء	1923 год
متناسق عالمی وقت−09:30	UTC−9:30
1924ء	1924 год
ناریان-مار	Нарьян-Мар
ریاو	Риау
مالولوس	Малолос (провинция Булакан)
متناسق عالمی وقت−09:00	UTC−09:00
روسی سوویت وفاقی اشتراکی جمہوریہ	Российская Советская Федеративная Социалистическая Республика
لیننگراڈ اوبلاست	Ленинградская область
مشترکہ گروہ برائے عکسیہ ماہران	JPEG
متناسق عالمی وقت−08:30	UTC−8:30
بونا سیارہ	Карликовая планета
توگوئگاراؤ	Тугегарао
5 جنوری	5 января
متناسق عالمی وقت−08:00	UTC−08:00
روکاس، کاپیز	Рохас (город)
مالمو	Мальмё
متناسق عالمی وقت−07:00	UTC−07:00
پسکوف اوبلاست	Псковская область
دریائے پیس	Пис (река)
6 جنوری	6 января
ریاو جزائر صوبہ	Острова Риау
برقیہ	Электрон
دریائے سلیو	Невольничья
7 جنوری	7 января
8 جنوری	8 января
9 جنوری	9 января
نووگورود اوبلاست	Новгородская область
10 جنوری	10 января
نزہنی نووگورود اوبلاست	Нижегородская область
11 جنوری	11 января
12 جنوری	12 января
لیارڈ دریا	Лиард (река)
کولمبیا دریا	Колумбия (река)
13 جنوری	13 января
برمنگھم	Бирмингем
14 جنوری	14 января
15 جنوری	15 января
16 جنوری	16 января
کوٹینے دریا	Кутеней (река)
17 جنوری	17 января
18 جنوری	18 января
19 جنوری	19 января
20 جنوری	20 января
صنعتی انقلاب	Промышленная революция
بنزین	Бензол
جنوبی سماٹرا	Южная Суматра
21 جنوری	21 января
22 جنوری	22 января
23 جنوری	23 января
رومی سلطنت	Римская империя
24 جنوری	24 января
25 جنوری	25 января
منسک	Минск
لارڈ ساؤرن	Саурон
26 جنوری	26 января
مائیکروسافٹ	Microsoft
27 جنوری	27 января
28 جنوری	28 января
29 جنوری	29 января
30 جنوری	30 января
31 جنوری	31 января
توور اوبلاست	Тверская область
اولیہ (جوہر)	Протон
2 دسمبر	2 декабря
1 دسمبر	1 декабря
3 دسمبر	3 декабря
7 دسمبر	7 декабря
5 دسمبر	5 декабря
8 دسمبر	8 декабря
10 دسمبر	10 декабря
6 دسمبر	6 декабря
9 دسمبر	9 декабря
4 دسمبر	4 декабря
1 فروری	1 февраля
2 فروری	2 февраля
3 فروری	3 февраля
کوروف	Курув
4 فروری	4 февраля
5 فروری	5 февраля
6 فروری	6 февраля
7 فروری	7 февраля
8 فروری	8 февраля
9 فروری	9 февраля
10 فروری	10 февраля
کیمیاء	Химия
14 فروری	14 февраля
13 فروری	13 февраля
15 فروری	15 февраля
11 فروری	11 февраля
12 فروری	12 февраля
سمولنسک	Смоленск
روبن وین پرسی	Ван Перси, Робин
19 فروری	19 февраля
17 فروری	17 февраля
16 فروری	16 февраля
18 فروری	18 февраля
20 فروری	20 февраля
تحلیلی کیمیاء	Аналитическая химия
سمولنسک اوبلاست	Смоленская область
نیوٹرون	Нейтрон
21 فروری	21 февраля
22 فروری	22 февраля
23 فروری	23 февраля
24 فروری	24 февраля
25 فروری	25 февраля
26 فروری	26 февраля
27ء	27 год
27 فروری	27 февраля
28 فروری	28 февраля
11 دسمبر	11 декабря
29 فروری	29 февраля
12 دسمبر	12 декабря
13 دسمبر	13 декабря
14 دسمبر	14 декабря
15 دسمبر	15 декабря
2 مارچ	2 марта
